WQBPV	320	1461327840	1461427200	OVS	140
XQBPV	321	1461320400	1461430500	NCB	170
FRBPV	73H	1461322380	1461427200	NRA	158
HRBPV	73H	1461308280	1461447000	OVS	158
RRBPV	73H	1461331620	1461423900	OCF	158
WRBPV	321	1461241800	1461510000	OVS	170
XRBPV	320	1461330180	1461423900	OVS	140
YRBPV	320	1461321120	1461427200	AVG	140
ZRBPV	320	1461322260	1461483600	OVS	140
GTBPV	321	1461327780	1461429900	OVS	170
ITBPV	32A	1461325740	1461430800	TSI	158
LTBPV	321	1461333600	1461429000	OVS	170
RTBPV	321	1461325620	1461510000	PIS	170
MUBPV	321	1461331620	1461430200	OVS	170
PUBPV	321	1461323760	1461434400	DUB	170
DWBPV	320	1461319500	1461423900	OVS	140
EWBPV	320	1461326580	1461426600	ARF	140
FWBPV	320	1461323280	1461429300	OVS	140
NWBPV	321	1461333720	1461424800	OVS	170
OWBPV	321	1461319260	1461442500	OVS	170
AZBPV	73H	1461320520	1461426000	HTA	158
BZBPV	73H	1461322320	1461436200	OVS	158
OZBPV	320	1461326280	1461445800	OVS	140
PZBPV	320	1461321540	1461428400	OVS	140
QZBPV	320	1461324660	1461430200	OVS	140
RZBPV	320	1461327720	1461484800	OVS	140
XABQV	320	1461324240	1461431100	OVS	140
YABQV	320	1461325200	1461425400	OVS	140
ZABQV	320	1461325020	1461429900	GRP	140
BBBQV	320	1461319320	1461427800	RHL	140
CBBQV	320	1461314700	1461429600	OVS	140
EBBQV	332	1461315660	1461435000	OVS	241
FBBQV	332	1461308760	1461455400	OVS	241
GBBQV	332	1461330360	1461471000	OVS	241
MCBQV	320	1461331740	1461433800	OVS	140
NCBQV	320	1461323580	1461446100	DYG	140
QCBQV	333	1461317160	1461433200	OVS	302
UCBQV	333	1461296880	1461427800	NCI	302
VCBQV	333	1461295140	1461441000	NAC	302
AEBQV	321	1461328080	1461426000	RTS	170
DEBQV	321	1461330480	1461432300	REA	170
EEBQV	321	1461318180	1461435300	GDC	170
FEBQV	321	1461330480	1461435900	OVS	170
GEBQV	321	1461326580	1461435600	OVS	170
HEBQV	320	1461319620	1461423900	URB	140
IEBQV	321	1461325380	1461426000	SMA	170
JEBQV	320	1461327660	1461425700	RRK	140
KEBQV	333	1461302340	1461428100	KKB	302
LEBQV	333	1461296760	1461433800	TKH	302
KHBQV	321	1461328140	1461437700	OVS	170
LHBQV	320	1461321720	1461436200	CUM	140
MHBQV	321	1461325740	1461429900	ACL	170
NHBQV	320	1461317700	1461427200	OVS	140
RIBQV	320	1461331260	1461429000	OVS	140
TIBQV	320	1461326580	1461433500	OVS	140
UIBQV	320	1461326460	1461429300	GDC	140
VIBQV	320	1461294120	1461434400	OVS	140
WIBQV	320	1461327540	1461432000	OVS	140
SKBQV	320	1461320100	1461431100	PXM	140
TKBQV	320	1461329820	1461424200	PXM	140
UKBQV	320	1461325500	1461435900	HRZ	140
VMBQV	3KR	1461294000	1461432900	NAH	296
XMBQV	3KR	1461259980	1461436200	OVS	296
YMBQV	3KR	1461294600	1461427200	TRN	296
SNBQV	333	1461320640	1461427500	OVS	301
HOBQV	321	1461316560	1461427800	OVS	170
IOBQV	321	1461324900	1461427800	OVS	170
IPBQV	3KR	1461318420	1461446100	OVS	296
JPBQV	3KR	1461329280	1461489300	RHL	296
KPBQV	3KR	1461304440	1461433800	OVS	296
UPBQV	32A	1461326160	1461428400	OVS	158
VPBQV	32A	1461322740	1461434700	OVS	158
WPBQV	32A	1461329160	1461425100	OVS	158
BQBQV	77W	1461241800	1461510000	OVS	402
CQBQV	77W	1461332880	1461428400	OVS	402
EQBQV	77W	1461323940	1461453000	OVS	402
FQBQV	77W	1461327420	1461497100	VLT	402
GQBQV	77W	1461324720	1461434100	OVS	402
MQBQV	77W	1461294120	1461428400	KKB	402
XQBQV	333	1461297600	1461426900	OVV	302
YQBQV	333	1461305940	1461456300	OVS	302
VRBQV	32A	1461327600	1461429900	OVS	158
WRBQV	32A	1461321900	1461448800	WAW	158
ESBQV	32A	1461326640	1461427500	OVS	158
GSBQV	32A	1461241800	1461425400	OVS	158
HSBQV	32A	1461329940	1461434700	OVS	158
ISBQV	32A	1461320880	1461424200	OVS	158
JSBQV	32A	1461326040	1461432900	OVS	158
LSBQV	32A	1461328560	1461428400	OVS	158
TSBQV	32A	1461328860	1461423900	SUD	158
USBQV	32A	1461324120	1461424200	HPC	158
AUBQV	77W	1461321480	1461432900	OVS	402
BUBQV	77W	1461307860	1461435600	OVS	402
CUBQV	77W	1461297960	1461436500	GVP	402
OVBQV	73H	1461320040	1461431400	DAM	158
PVBQV	73H	1461319980	1461425700	TYA	158
AWBQV	73H	1461328020	1461423600	DEL	158
BWBQV	73H	1461325380	1461424500	OVS	158
CWBQV	73H	1461327000	1461429000	BXD	158
DWBQV	73H	1461327780	1461452100	XVS	158
EWBQV	73H	1461321900	1461444900	NVE	158
FWBQV	73H	1461241800	1461426300	OVS	158
